symbol,feature,gain,normalised_gain,kept
BTC-USD,bb_width,96.6107111105693,0.00574892892443074,False
BTC-USD,atr_14,75.92609630512834,0.0045180676774866785,False
BTC-USD,volume_ratio_20,139.4907404530536,0.008300553254007567,False
BTC-USD,ema_cross,0.0,0.0,False
BTC-USD,ema_200_slope,47.23295715224401,0.002810650190206775,False
BTC-USD,atr_pct_252,172.84011578708515,0.010285045307379238,True
BTC-USD,hl_range_pct,3415.268156704983,0.2032293693428838,True
BTC-USD,body_wick_ratio,2971.1202096033903,0.17679984666918577,True
BTC-USD,obv_z_20,143.03344835715194,0.008511366068720947,False
BTC-USD,price_vs_52w_high,98.19689979341865,0.0058433168643766634,False
BTC-USD,cross_btc_ret_7d,484.5375553635067,0.02883295169843213,True
ETH-USD,log_ret_1h,16609.112117609522,1.0,True
ETH-USD,log_ret_4h,336.81434248853395,0.020278889088323537,True
ETH-USD,log_ret_24h,68.93151699657031,0.004150222872147806,False
ETH-USD,log_ret_7d,159.68149851944668,0.009614089987998042,False
ETH-USD,vol_20,110.37669369289927,0.006645550521383639,False
ETH-USD,vol_50,24.897841040452022,0.001499047081153394,False
ETH-USD,zscore_20,39.79586019413546,0.0023960257425165183,False
ETH-USD,rsi_14,60.66970285912248,0.0036527962740885156,False
ETH-USD,macd,52.284408433843055,0.00314793518543411,False
ETH-USD,macd_signal,22.644702340724876,0.0013633902992753132,False
ETH-USD,macd_hist,89.32086210181387,0.005377822816134342,False
ETH-USD,bb_pct_b,10.344720125198364,0.0006228340233931322,False
ETH-USD,bb_width,127.5126451473916,0.0076772704190610245,False
ETH-USD,atr_14,91.80654349438404,0.005527480508548543,False
ETH-USD,volume_ratio_20,99.86000777033041,0.006012362795989292,False
ETH-USD,ema_cross,0.0,0.0,False
ETH-USD,ema_200_slope,35.79311936866725,0.002155029065684867,False
ETH-USD,atr_pct_252,190.929393050292,0.011495460545892903,True
ETH-USD,hl_range_pct,6018.177856873703,0.36234193701980216,True
ETH-USD,body_wick_ratio,4921.776081981781,0.2963298728511534,True
ETH-USD,obv_z_20,224.27280789093606,0.013502998011143215,True
ETH-USD,price_vs_52w_high,76.8465030124746,0.0046267676723669915,False
ETH-USD,cross_btc_ret_7d,131.21891509518196,0.007900417202678726,False
BTC-USD,log_ret_1h,16804.99313533185,1.0,True
BTC-USD,log_ret_4h,110.2800252328633,0.006562336821251286,False
BTC-USD,log_ret_24h,63.27707857094077,0.0037653736637299276,False
BTC-USD,log_ret_7d,55.619413556253676,0.003309695702244353,False
BTC-USD,vol_20,26.942611225848395,0.0016032503559434723,False
BTC-USD,vol_50,52.10869531822573,0.0031007864685567293,False
BTC-USD,zscore_20,148.46738749301647,0.008834718723024618,False
BTC-USD,rsi_14,218.491108431454,0.013001558921918562,True
BTC-USD,macd,28.874598178401357,0.0017182154104956834,False
BTC-USD,macd_signal,52.678075071261276,0.003134668050563356,False
BTC-USD,macd_hist,37.174621518468484,0.0022121176259400116,False
BTC-USD,bb_pct_b,0.0,0.0,False
BTC-USD,bb_width,96.6107111105693,0.00574892892443074,False
BTC-USD,atr_14,75.92609630512834,0.0045180676774866785,False
BTC-USD,volume_ratio_20,139.4907404530536,0.008300553254007567,False
BTC-USD,ema_cross,0.0,0.0,False
BTC-USD,ema_200_slope,47.23295715224401,0.002810650190206775,False
BTC-USD,atr_pct_252,172.84011578708515,0.010285045307379238,True
BTC-USD,hl_range_pct,3415.268156704983,0.2032293693428838,True
BTC-USD,body_wick_ratio,2971.1202096033903,0.17679984666918577,True
BTC-USD,obv_z_20,143.03344835715194,0.008511366068720947,False
BTC-USD,price_vs_52w_high,98.19689979341865,0.0058433168643766634,False
BTC-USD,cross_btc_ret_7d,484.5375553635067,0.02883295169843213,True
ETH-USD,log_ret_1h,16609.112117609522,1.0,True
ETH-USD,log_ret_4h,336.81434248853395,0.020278889088323537,True
ETH-USD,log_ret_24h,68.93151699657031,0.004150222872147806,False
ETH-USD,log_ret_7d,159.68149851944668,0.009614089987998042,False
ETH-USD,vol_20,110.37669369289927,0.006645550521383639,False
ETH-USD,vol_50,24.897841040452022,0.001499047081153394,False
ETH-USD,zscore_20,39.79586019413546,0.0023960257425165183,False
ETH-USD,rsi_14,60.66970285912248,0.0036527962740885156,False
ETH-USD,macd,52.284408433843055,0.00314793518543411,False
ETH-USD,macd_signal,22.644702340724876,0.0013633902992753132,False
ETH-USD,macd_hist,89.32086210181387,0.005377822816134342,False
ETH-USD,bb_pct_b,10.344720125198364,0.0006228340233931322,False
ETH-USD,bb_width,127.5126451473916,0.0076772704190610245,False
ETH-USD,atr_14,91.80654349438404,0.005527480508548543,False
ETH-USD,volume_ratio_20,99.86000777033041,0.006012362795989292,False
ETH-USD,ema_cross,0.0,0.0,False
ETH-USD,ema_200_slope,35.79311936866725,0.002155029065684867,False
ETH-USD,atr_pct_252,190.929393050292,0.011495460545892903,True
ETH-USD,hl_range_pct,6018.177856873703,0.36234193701980216,True
ETH-USD,body_wick_ratio,4921.776081981781,0.2963298728511534,True
ETH-USD,obv_z_20,224.27280789093606,0.013502998011143215,True
ETH-USD,price_vs_52w_high,76.8465030124746,0.0046267676723669915,False
ETH-USD,cross_btc_ret_7d,131.21891509518196,0.007900417202678726,False
